OBJECTID,GEAR_NAME,HAUL_ID,CRUISE,HAUL_NAME,NET,FOCI_GRID,BOTTOM_DEPTH,HAUL_PERFORMANCE,MESH,LAT,LON,PURPOSE,PRIMARY_NET,MIN_GEAR_DEPTH,MAX_GEAR_DEPTH,VOLUME_FILTERED,GEOGRAPHIC_AREA,GMT_DATE_TIME,COMMENTS_HAUL,POLYGONAL_AREA,STATION_NAME,MONTH_,YEAR_,DAY_,SHIP_CRUISE_NAME,SHIP_NAME,COMMENTS_SAMPLES,species_name,COMMON_NAME_1,COMMENTS_SPECIMEN,LARVALCATCHPER1000M3,LARVALCATCHPER10M2,STAGE_NAME,SPECIES_NAME_1,SPECIES_CODE_ICHBASE,SPECIES_NAME_ICHBASE,COMMON_NAME_ICHBASE
1141,60BON,6MF06 68 2 60BON 1,6MF06,2,1,BA4,142,GOOD,505,54.71333,-165.27933,GRID,Y,0,131,223.26512,BS,2006-09-20 15:02,,1132.975,68,9,2006,20,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1142,60BON,1SS05 82 1 60BON 1,1SS05,1,1,,26,GOOD,505,63.5013,-167.00079,PLNKSURV,Y,0,16,32.66819,BS,2005-09-19 0:10,An oblique tow. A BASIS project.,,82,9,2005,19,SS05-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1143,60BON,1SS05 84 1 60BON 1,1SS05,1,1,,20,GOOD,505,64.1062,-163.97301,PLNKSURV,Y,0,10,19.53233,BS,2005-09-21 3:23,An oblique tow. A BASIS project.,,84,9,2005,21,SS05-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1144,60BON,1SS07 3 1 60BON 1,1SS07,1,1,,59,GOOD,505,56.98361,-162.01645,PLNKSURV,Y,0,56,62.30322,BS,2007-08-16 15:26,An oblique tow. A BASIS project.,,3,8,2007,16,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1145,60BON,1NW06 16 1 60BON 1,1NW06,1,1,,43,QUEST,505,57.98942,-164.99797,PLNKSURV,Y,0,16,56.71085,BS,2006-08-25 6:42,bounced along surface ~20secs at end. An oblique tow. A BASIS Project; Station ID 20062016. Volume filtered provided by collecting agency.,,16,8,2006,25,NW06-01,Northwest Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1146,60BON,1NW06 36 1 60BON 1,1NW06,1,1,,50,QUEST,505,56.00928,-161.98262,PLNKSURV,Y,0,44,12.29933,BS,2006-08-30 4:35,A vertical tow. A BASIS Project; Station ID 20062036. Volume filtered provided by collecting agency.,,36,8,2006,30,NW06-01,Northwest Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1147,60BON,1SS06 18 1 60BON 1,1SS06,1,1,,78,GOOD,505,57.00083,-168.00417,PLNKSURV,Y,0,63,95.26855,BS,2006-08-21 23:36,An oblique tow. A BASIS project.,,18,8,2006,21,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1148,60BON,1SS06 22 1 60BON 1,1SS06,1,1,,68,GOOD,505,57.50267,-167.00467,PLNKSURV,Y,0,56,92.21943,BS,2006-08-22 23:03,A BASIS Project; Station ID 20061022. Volume filtered provided by collecting agency.,,22,8,2006,22,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1149,60BON,1SS06 46 1 60BON 1,1SS06,1,1,,98,GOOD,505,58.51017,-172.0025,PLNKSURV,Y,0,90,118.32714,BS,2006-08-28 23:56,may have touched bottom - brittle stars & worm; rmved 6cm aquorea. An oblique tow. A BASIS project.,,46,8,2006,28,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1150,60BON,1SS06 51 1 60BON 1,1SS06,1,1,,1000,GOOD,505,56.49967,-173.00417,PLNKSURV,Y,0,200,219.28394,BS,2006-08-30 3:49,An oblique tow. A BASIS project.,,51,8,2006,30,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1151,60BON,1OM01 12 3 60BON 1,1OM01,3,1,G7,71,GOOD,333,57.518,-169.028,PLNKSURV,Y,0,64,48.76251,BS,2001-07-23 2:10,Lots of phytoplankton; nets clogging.,,12,7,2001,23,OM01-03,Oshoro Maru,,Gadus chalcogrammus,,,41.01512,26.24967,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1152,60BON,1NW06 47 1 60BON 1,1NW06,1,1,,67,GOOD,505,57.00837,-164.98737,PLNKSURV,Y,0,61,17.30388,BS,2006-09-03 15:02,flat calm. A vertical tow. A BASIS project.,,47,9,2006,3,NW06-01,Northwest Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1153,60BON,1SS07 109 1 60BON 1,1SS07,1,1,,27,GOOD,505,61.5,-167.91658,PLNKSURV,Y,0,20,41.92695,BS,2007-09-27 19:58,A BASIS Project; Station ID 20071109. Volume filtered provided by collecting agency.,,109,9,2007,27,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1154,60BON,1SS07 11 1 60BON 1,1SS07,1,1,,66,GOOD,505,56.50002,-162.0165,PLNKSURV,Y,0,53,93.43613,BS,2007-08-18 15:06,A BASIS Project; Station ID 20071011. Volume filtered provided by collecting agency.,,11,8,2007,18,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1155,60BON,3DY09 53 2 60BON 1,3DY09,2,1,AO10,96,GOOD,505,55.62533,-164.15117,GRID,Y,0,86,149.21498,BS,2009-05-14 13:54,4 jelly removed from 60Bon Net#1.,772.8445,53,5,2009,14,DY09-07,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1156,60BON,DY14-05 53 2 60BON 1,DY14-05,2,1,70M30,71,GOOD,505,58.9478,-170.324,PLNKSURV,Y,0,61,113.73801,BS,2014-05-11 15:00,,,53,5,2014,11,DY14-05,Oscar Dyson,,Gadus chalcogrammus,,,8.79214,5.3632,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1157,60BON,DY14-06 148 1 60BON 1,DY14-06,1,1,BS37,99,GOOD,505,56.409,-169.8478,GRID,Y,0,89,167.7873,BS,2014-05-31 11:28,,,148,5,2014,31,DY14-06,Oscar Dyson,,Gadus chalcogrammus,,,1037.02724,922.95424,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1158,60BON,1MF08 2 1 60BON 1,1MF08,1,1,AX04,75,GOOD,505,54.82817,-164.87984,GRID,Y,0,65,73.6699,BS,2008-02-18 12:08,,728.8208,2,2,2008,18,MF08-02,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1159,60BON,1SS07 55 1 60BON 1,1SS07,1,1,,132,GOOD,505,55.9836,-167.0164,PLNKSURV,Y,0,87,72.74568,BS,2007-08-31 14:51,A BASIS Project; Station ID 20071055. Volume filtered provided by collecting agency.,,55,8,2007,31,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1160,60BON,1SS07 56 1 60BON 1,1SS07,1,1,,135,GOOD,505,55.48361,-167.0164,PLNKSURV,Y,0,119,101.2306,BS,2007-08-31 18:51,An oblique tow. A BASIS project.,,56,8,2007,31,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1161,60BON,1SS07 69 1 60BON 1,1SS07,1,1,,78,GOOD,505,56.9836,-170,PLNKSURV,Y,0,70,86.91333,BS,2007-09-09 14:54,An oblique tow. A BASIS project.,,69,9,2007,9,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1162,60BON,1SS07 70 1 60BON 1,1SS07,1,1,,69,GOOD,505,57.48361,-169.0164,PLNKSURV,Y,0,51,105.6589,BS,2007-09-09 18:47,A BASIS Project; Station ID 20071070. Volume filtered provided by collecting agency.,,70,9,2007,9,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1163,60BON,1SS06 75 1 60BON 1,1SS06,1,1,,24,GOOD,505,62.99833,-167.02333,PLNKSURV,Y,0,12,24.82544,BS,2006-09-08 20:04,A BASIS Project; Station ID 20061075. Volume filtered provided by collecting agency.,,75,9,2006,8,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1164,60BON,1SS06 85 1 60BON 1,1SS06,1,1,,49,GOOD,505,61.99833,-171,PLNKSURV,Y,0,40,65.12019,BS,2006-09-12 2:49,An oblique tow. A BASIS project.,,85,9,2006,12,SS06-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1165,60BON,1SS07 1 1 60BON 1,1SS07,1,1,,42,GOOD,505,55.50002,-163.01648,PLNKSURV,Y,0,34,41.54545,BS,2007-08-15 21:14,An oblique tow. A BASIS project.,,1,8,2007,15,SS07-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1166,60BON,1OM01 20 3 60BON 1,1OM01,3,1,C5,139,GOOD,333,55.49033,-167.02283,PLNKSURV,Y,0,131,104.93422,BS,2001-07-24 10:16,,,20,7,2001,24,OM01-03,Oshoro Maru,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1167,60BON,3AK10 10 2 60BON 1,3AK10,2,1,,63,GOOD,333,60.66217,-173.48717,PLNKSURV,Y,0,53,153.93488,BS,2010-08-01 10:05,wire angle at max depth = 47 degree,,10,8,2010,1,201001,Alaska Knight,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1168,60BON,4WE97 1 3 60BON 1,4WE97,3,1,,635,QUEST,333,53.35783,-168.7085,PLNKSURV,Y,0,300,470.29535,BS,1997-07-01 14:16,2 minutes @ surface while positioning boom,,1,7,1997,1,WE97-06C,Wecoma,Sample_Type corrected from 4 to 4. (1/19/2015),Gadus chalcogrammus,,,0,0,Larvae,,,,
1169,60BON,DY14-06 165 1 60BON 1,DY14-06,1,1,BP43,67,GOOD,505,56.9707,-169.914,GRID,Y,0,58,130.51411,BS,2014-06-02 17:54,,,165,6,2014,2,DY14-06,Oscar Dyson,,Gadus chalcogrammus,,,6650.62191,3857.36071,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1170,60BON,6MF06 20 2 60BON 1,6MF06,2,1,Q4,20,GOOD,505,56.14683,-160.58267,GRID,Y,0,20,45.89611,BS,2006-09-13 15:50,,627.5197,20,9,2006,13,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1171,60BON,6MF06 8 2 60BON 1,6MF06,2,1,E7,26,QUEST,505,56.83383,-159.21266,GRID,Y,0,17,27.55972,BS,2006-09-12 12:49,Wire angle at 56 deg.,456.5983,8,9,2006,12,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1172,60BON,1WE10 75 2 60BON 1,1WE10,2,1,70M53,71,QUEST,505,61.73117,-173.85767,PLNKSURV,Y,0,68,107.01706,BS,2010-08-29 5:25,Large jelly in 60bon net 1; sample questionable.,,75,8,2010,29,WE10-08,Wecoma,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1173,60BON,2MF05 97 1 60BON 1,2MF05,1,1,,98,GOOD,505,54.454,-165.53067,PLNKSURV,Y,0,89,174.54225,BS,2005-03-04 19:05,,,97,3,2005,4,MF05-02,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1174,60BON,2MF09 80 2 60BON 1,2MF09,2,1,SL15,85,GOOD,333,62.19817,-175.54584,PLNKSURV,Y,0,76,163.42889,BS,2009-10-04 14:33,,,80,10,2009,4,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1175,60BON,2DY10 31 2 60BON 2,2DY10,2,2,AU7,102,GOOD,500,55.16567,-164.70599,GRID,Y,0,94,173.28774,BS,2010-05-09 8:56,,781.7336,31,5,2010,9,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1176,60BON,4MF94 149 6 60BON 1,4MF94,6,1,,652,GOOD,333,54.35667,-166.4467,PLNKSURV,Y,0,200,298.2215,BS,1994-04-29 6:00,,,149,4,1994,29,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,97.24316,194.48631,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1177,60BON,4WE97 11 2 60BON 1,4WE97,2,1,,1470,QUEST,333,55.34283,-168.25234,PLNKSURV,Y,0,301,327.22797,BS,1997-07-02 20:43,wire angle at 26 deg. Flowmeter revs < AVG - 2 SD.,,11,7,1997,2,WE97-06C,Wecoma,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1178,60BON,4MF07 56 3 60BON 1,4MF07,3,1,CE43,1633,GOOD,505,56.37167,-171.74884,PLNKSURV,Y,0,600,660.95007,BS,2007-05-13 19:51,deep bongo (600 m).,,56,5,2007,13,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,13.61676,81.70057,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1179,60BON,4MF07 57 2 60BON 1,4MF07,2,1,CH43,2428,QUEST,505,56.252,-172.11934,GRID,Y,0,302,459.05029,BS,2007-05-13 22:26,Wire angle at 26 deg. Flowmeter revs > AVG + 2 SD.,730.6763,57,5,2007,13,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,2.17841,6.5788,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1180,60BON,4MF94 138 1 60BON 1,4MF94,1,1,,93,GOOD,333,54.55,-165.0517,PLNKSURV,Y,0,87,120.8566,BS,1994-04-27 15:06,,,138,4,1994,27,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,6371.18701,5542.9327,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1181,60BON,6MF06 47 2 60BON 1,6MF06,2,1,AL7,75,QUEST,505,55.5285,-163.56166,GRID,Y,0,66,106.61391,BS,2006-09-16 11:40,Wire angle at 67 deg.,788.7698,47,9,2006,16,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1182,60BON,3MF93 106 1 60BON 1,3MF93,1,1,,1281,GOOD,333,54.22833,-166.77,PLNKSURV,Y,0,400,423.88876,BS,1993-04-29 11:52,SMALL SCALE GRID Flowmeter revs < AVG - 2 SD.,,106,4,1993,29,MF93-05,Miller Freeman,,Gadus chalcogrammus,,,1382.43817,5529.75266,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1183,60BON,3MF93 117 1 60BON 1,3MF93,1,1,,166,GOOD,333,54.16167,-166.33501,PLNKSURV,Y,0,141,189.42236,BS,1993-04-30 1:31,SMALL SCALE GRID,,117,4,1993,30,MF93-05,Miller Freeman,,Gadus chalcogrammus,,,644.06335,908.12933,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1184,60BON,3MF93 127 1 60BON 1,3MF93,1,1,,914,GOOD,333,54.15167,-166.57001,PLNKSURV,Y,0,400,433.5593,BS,1993-04-30 12:08,SMALL SCALE GRID Flowmeter revs < AVG - 2 SD.,,127,4,1993,30,MF93-05,Miller Freeman,,Gadus chalcogrammus,,,1769.07749,7076.30998,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1185,60BON,3MF93 3 1 60BON 1,3MF93,1,1,,1456,GOOD,333,54.12833,-167.1333,PLNKSURV,Y,0,100,151.25159,BS,1993-04-15 23:51,GRIDPRE,,3,4,1993,15,MF93-05,Miller Freeman,,Gadus chalcogrammus,,,5573.49513,5573.49513,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1186,60BON,6MF06 9 2 60BON 1,6MF06,2,1,E10,52,GOOD,505,57.0515,-159.44017,GRID,Y,0,44,74.40699,BS,2006-09-12 14:38,,668.423,9,9,2006,12,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1187,60BON,2MF09 102 2 60BON 1,2MF09,2,1,CN4,67,GOOD,333,57.13066,-163.79367,PLNKSURV,Y,0,59,92.79768,BS,2009-10-08 2:45,,,102,10,2009,8,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1188,60BON,2DY10 42 2 60BON 2,2DY10,2,2,AO16,93,GOOD,500,56.06883,-164.56934,GRID,Y,0,85,170.38112,BS,2010-05-10 6:06,60BON Net1 had one jelly rinsed and discarded,760.2515,42,5,2010,10,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,721.91097,613.62433,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1189,60BON,2MF03 1 2 60BON 1,2MF03,2,1,,75,GOOD,333,56.66017,-163.87601,PLNKSURV,Y,0,67,112.14808,BS,2003-03-04 4:27,,,1,3,2003,4,MF03-03,Miller Freeman,,Gadus chalcogrammus,,,26.75035,17.92273,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1190,60BON,2MF09 21 2 60BON 1,2MF09,2,1,70M17,72,GOOD,333,57.51583,-168.30533,PLNKSURV,Y,0,62,99.4852,BS,2009-09-27 13:56,,,21,9,2009,27,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1191,60BON,4MF07 87 2 60BON 1,4MF07,2,1,BP22,929,GOOD,505,55.426,-168.41316,PLNKSURV,Y,0,602,742.88214,BS,2007-05-17 14:34,deep bongo (600m).,,87,5,2007,17,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,1.34611,8.10357,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1192,60BON,4WE97 18 2 60BON 1,4WE97,2,1,,130,GOOD,333,55.9855,-166.58217,PLNKSURV,Y,0,116,194.56299,BS,1997-07-03 7:28,,,18,7,1997,3,WE97-06C,Wecoma,,Gadus chalcogrammus,,,277.54508,321.95229,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1193,60BON,4MF07 9 2 60BON 1,4MF07,2,1,BY28,2784,QUEST,505,55.50917,-169.94116,GRID,Y,0,300,321.33347,BS,2007-05-09 4:55,Wire angle at 33 deg.,750.0297,9,5,2007,9,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,21.78422,65.35267,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1194,60BON,4WE97 39 2 60BON 1,4WE97,2,1,A5,58,GOOD,333,57.34867,-170.138,PLNKSURV,Y,0,53,103.62617,BS,1997-07-05 5:18,,,39,7,1997,5,WE97-06C,Wecoma,,Gadus chalcogrammus,,,1852.81382,981.99133,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1195,60BON,6MF06 63 2 60BON 1,6MF06,2,1,AX7,110,GOOD,505,55.05817,-165.09467,GRID,Y,0,101,159.44788,BS,2006-09-17 23:21,,988.6233,63,9,2006,17,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1196,60BON,6MF06 66 2 60BON 1,6MF06,2,1,BA10,122,GOOD,505,55.15033,-165.69067,GRID,Y,0,112,153.87691,BS,2006-09-20 10:50,,757.2172,66,9,2006,20,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1197,60BON,2MF09 68 2 60BON 1,2MF09,2,1,SL1BB,34,GOOD,333,61.74967,-168.48933,PLNKSURV,Y,0,26,51.84937,BS,2009-10-02 18:47,,,68,10,2009,2,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1198,60BON,2MF09 4 2 60BON 1,2MF09,2,1,M2E,71,GOOD,333,56.94333,-163.83234,PLNKSURV,Y,0,61,93.34159,BS,2009-09-26 9:13,2 JELLIES REMOVED FROM 60 BON NET 1. MOORING 2 EAST CORNER.,,4,9,2009,26,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1199,60BON,2MF09 42 2 60BON 1,2MF09,2,1,M5S,74,GOOD,333,59.70483,-171.49066,PLNKSURV,Y,0,67,146.43311,BS,2009-09-29 8:13,MOORING 5 SOUTH CORNER.,,42,9,2009,29,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1200,60BON,4MF07 67 2 60BON 1,4MF07,2,1,CH49,134,GOOD,505,56.693,-172.54617,GRID,Y,0,126,190.53331,BS,2007-05-15 1:50,,935.659,67,5,2007,15,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1201,60BON,4MF94 154 1 60BON 1,4MF94,1,1,,93,GOOD,333,53.54833,-167.61169,PLNKSURV,Y,0,88,125.2351,BS,1994-04-30 1:59,,,154,4,1994,30,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,31.93993,28.10714,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1202,60BON,4WE97 79 2 60BON 2,4WE97,2,2,,101,GOOD,333,56.686,-170.21083,PLNKSURV,NPQ,0,90,150.31824,BS,1997-07-08 4:40,1 chrysaora 50cm. Net may have been clogged by the large jellyfish. Perserved with net 1and 2.,,79,7,1997,8,WE97-06C,Wecoma,,Gadus chalcogrammus,,,785.00121,706.50109,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1203,60BON,4MF94 145 5 60BON 1,4MF94,5,1,,145,GOOD,333,54.35,-165.83,PLNKSURV,Y,0,134,189.78641,BS,1994-04-28 17:26,,,145,4,1994,28,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,73.76714,98.84796,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1204,60BON,6MF06 39 2 60BON 1,6MF06,2,1,AF7,59,GOOD,505,55.7525,-162.784,GRID,Y,0,50,66.42937,BS,2006-09-15 15:31,,777.8942,39,9,2006,15,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1205,60BON,2MF92 G028A 1 60BON 1,2MF92,1,1,,1500,GOOD,333,54.57833,-168.5817,GRID,Y,0,102,148.47157,BS,1992-04-18 9:51,,348.17,G028A,4,1992,18,MF92-04,Miller Freeman,,Gadus chalcogrammus,,,1043.97091,1064.85033,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1206,60BON,6MF06 40 2 60BON 1,6MF06,2,1,AF4,27,QUEST,505,55.53217,-162.57384,GRID,Y,0,17,46.91418,BS,2006-09-15 17:12,Wire angle at 58 deg.,656.7567,40,9,2006,15,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1207,60BON,6MF06 41 3 60BON 1,6MF06,3,1,AI4,33,GOOD,505,55.42567,-162.94884,GRID,Y,0,26,62.03602,BS,2006-09-15 20:18,,745.1382,41,9,2006,15,MF06-10,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1208,60BON,2MF09 56 2 60BON 1,2MF09,2,1,70M49,79,GOOD,333,61.06384,-173.83099,PLNKSURV,Y,0,71,115.8847,BS,2009-09-30 17:06,,,56,9,2009,30,MF09-04L2,Miller Freeman,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1209,60BON,1WE10 23 2 60BON 1,1WE10,2,1,70M5,73,GOOD,505,56.859,-165.12117,PLNKSURV,Y,0,68,121.21063,BS,2010-08-26 0:41,,,23,8,2010,26,WE10-08,Wecoma,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1210,60BON,2DY10 98 2 60BON 2,2DY10,2,2,BP22,983,GOOD,500,55.42717,-168.41267,GRID,Y,0,300,570.65393,BS,2010-05-17 5:26,,759.0784,98,5,2010,17,DY10-04,Oscar Dyson,,Gadus chalcogrammus,,,1.75238,5.25713,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1211,60BON,4MF94 46 2 60BON 1,4MF94,2,1,,520,GOOD,333,54.43,-167.0183,GRID,Y,0,203,264.68301,BS,1994-04-19 14:50,,751.42,46,4,1994,19,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,154.90227,314.45162,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1212,60BON,4MF07 53 2 60BON 1,4MF07,2,1,BV43,109,GOOD,505,56.73117,-170.64999,GRID,Y,0,100,147.95004,BS,2007-05-13 12:18,,1004.116,53,5,2007,13,MF07-07,Miller Freeman,,Gadus chalcogrammus,,,94.62654,94.62654,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1213,60BON,4MF94 7 1 60BON 1,4MF94,1,1,,673,QUEST,333,54.34833,-166.4117,PLNKSURV,Y,0,501,531.85529,BS,1994-04-15 20:26,Flowmeter revs < AVG - 3 SD.,,7,4,1994,15,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,317.75561,1591.95559,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1214,60BON,4MF94 126 1 60BON 1,4MF94,1,1,,72,GOOD,333,54.80333,-165.0233,PLNKSURV,Y,0,68,96.03405,BS,1994-04-26 14:59,,,126,4,1994,26,MF94-04,Miller Freeman,,Gadus chalcogrammus,,,2530.35252,1720.63971,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1215,60BON,BE13-03 157 2 60BON 1,BE13-03,2,1,,36,QUEST,505,64.49917,-167.99738,PLNKSURV,Y,0,31,40.35922,BS,2013-09-13 1:09,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,157,9,2013,13,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1216,60BON,BE13-03 162 2 60BON 1,BE13-03,2,1,,37,QUEST,505,63.99945,-168.00155,PLNKSURV,Y,0,30,48.25853,BS,2013-09-14 16:08,all log sheets were lost at sea due to ship flooding. Volume filtered value was recreated based on a comparison of previous year's volume filtered data. haul performance noted as questionable. Arctic EIS project.,,162,9,2013,14,BE13-03,Bristol Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1217,60BON,6MF97 12 3 60BON 1,6MF97,3,1,,425,GOOD,333,55.383,-168.16634,PLNKSURV,Y,0,300,445.20242,BS,1997-05-05 20:13,,,12,5,1997,5,MF97-05,Miller Freeman,,Gadus chalcogrammus,,,85.35443,256.0633,Larvae,Gadus chalcogrammus,168,Gadus chalcogrammus,Walleye Pollock
1218,60BON,1SS04 137 1 60BON 1,1SS04,1,1,,26,GOOD,505,60.0045,-168.00317,PLNKSURV,Y,0,20,28.14156,BS,2004-09-28 15:46,Calibration factor provided by collecting agency.,,137,9,2004,28,SS04-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1219,60BON,1SS04 18 1 60BON 1,1SS04,1,1,,43,GOOD,505,55.5,-163.00349,PLNKSURV,Y,0,33,58.22368,BS,2004-08-19 14:58,A BASIS Project; Station ID 20041018. Volume filtered provided by collecting agency.,,18,8,2004,19,SS04-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1220,60BON,1SS04 20 1 60BON 1,1SS04,1,1,,80,GOOD,505,56.49967,-163.00067,PLNKSURV,Y,0,80,25.24812,BS,2004-08-19 22:42,Calibration factor provided by collecting agency.,,20,8,2004,19,SS04-01,Sea Storm,,Gadus chalcogrammus,,,0,0,Larvae,,,,
1221,60BON,1NW02 28 1 60BON 1,1NW02,1,1,,116,GOOD,333,57.01683,-172.605,PLNKSURV,NPQ,0,95,143.52501,BS,2002-09-28 17:23,Volume filtered calculated by collecting agency.,,28,9,2002,28,SS02-01,Northwest Explorer,,Gadus chalcogrammus,,,0,0,Larvae,,,,
